Time,Task,n_neighbors,weights,Accuracy,F1 Score,Runtime (s),Train Size,Features
2026-03-23 07:01:48,plant,3,distance,0.6414048059149723,0.6319850041962651,0.009821,3785,1890
2026-03-23 07:01:50,plant,5,distance,0.6358595194085028,0.6217843836091879,0.011527,3785,1890
2026-03-23 07:01:51,plant,7,distance,0.6358595194085028,0.6200987914828855,0.00921,3785,1890
2026-03-23 07:01:51,plant,9,distance,0.6383240911891559,0.6179612164607736,0.009841,3785,1890
2026-03-23 07:01:52,plant,11,distance,0.6272335181762169,0.6058478083241934,0.012522,3785,1890
