Time,Task,n_estimators,max_depth,criterion,Accuracy,F1 Score,Runtime (s),Train Size,Features
2026-03-22 01:07:37,plant,100,20,gini,0.8231669747381393,0.8143044994958644,1.901409,3785,1890
2026-03-22 01:07:39,plant,100,30,gini,0.8243992606284658,0.8158351931442993,1.857572,3785,1890
2026-03-22 01:07:41,plant,100,40,gini,0.8243992606284658,0.8158351931442993,1.858171,3785,1890
2026-03-22 01:07:45,plant,200,20,gini,0.8342575477510783,0.8251289587793269,3.380017,3785,1890
2026-03-22 01:07:48,plant,200,30,gini,0.833641404805915,0.8245374068727762,3.277169,3785,1890
2026-03-22 01:07:52,plant,200,40,gini,0.833641404805915,0.8245374068727762,3.30812,3785,1890
2026-03-22 01:07:57,plant,300,20,gini,0.8354898336414048,0.8261710319858588,4.924991,3785,1890
2026-03-22 01:08:02,plant,300,30,gini,0.8354898336414048,0.8262952511215136,4.9361,3785,1890
2026-03-22 01:08:07,plant,300,40,gini,0.8354898336414048,0.8262952511215136,4.898406,3785,1890
2026-03-22 01:08:14,plant,400,20,gini,0.836105976586568,0.8276024374865739,6.560356,3785,1890
2026-03-22 01:08:21,plant,400,30,gini,0.8330252618607517,0.8242148758685314,6.669572,3785,1890
2026-03-22 01:08:28,plant,400,40,gini,0.8330252618607517,0.8242148758685314,6.956094,3785,1890
2026-03-23 07:06:55,plant,100,20,gini,0.8231669747381393,0.8143044994958644,1.813229,3785,1890
2026-03-23 07:06:58,plant,100,30,gini,0.8243992606284658,0.8158351931442993,2.523887,3785,1890
2026-03-23 07:07:00,plant,100,40,gini,0.8243992606284658,0.8158351931442993,1.905699,3785,1890
2026-03-23 07:07:04,plant,200,20,gini,0.8342575477510783,0.8251289587793269,3.575206,3785,1890
2026-03-23 07:07:08,plant,200,30,gini,0.833641404805915,0.8245374068727762,4.257383,3785,1890
2026-03-23 07:07:12,plant,200,40,gini,0.833641404805915,0.8245374068727762,3.689262,3785,1890
2026-03-23 07:07:20,plant,300,20,gini,0.8354898336414048,0.8261710319858588,7.687516,3785,1890
2026-03-23 07:07:27,plant,300,30,gini,0.8354898336414048,0.8262952511215136,6.276525,3785,1890
2026-03-23 07:07:34,plant,300,40,gini,0.8354898336414048,0.8262952511215136,6.469453,3785,1890
2026-03-23 07:07:43,plant,400,20,gini,0.836105976586568,0.8276024374865739,8.087956,3785,1890
2026-03-23 07:07:50,plant,400,30,gini,0.8330252618607517,0.8242148758685314,6.701891,3785,1890
2026-03-23 07:07:59,plant,400,40,gini,0.8330252618607517,0.8242148758685314,8.53663,3785,1890
2026-03-23 07:27:21,plant,100,20,gini,0.8299445471349353,0.8213830741394806,2.086791,3785,1890
2026-03-23 07:27:23,plant,100,30,gini,0.8324091189155884,0.8243685148395339,2.407584,3785,1890
2026-03-23 07:27:25,plant,100,40,gini,0.8324091189155884,0.8243685148395339,1.964742,3785,1890
2026-03-23 07:27:29,plant,200,20,gini,0.8354898336414048,0.8263270520951361,3.352962,3785,1890
2026-03-23 07:27:32,plant,200,30,gini,0.8391866913123844,0.8303652311066233,3.391444,3785,1890
2026-03-23 07:27:36,plant,200,40,gini,0.8391866913123844,0.8303652311066233,3.369031,3785,1890
2026-03-23 07:27:41,plant,300,20,gini,0.8367221195317314,0.8279981010711233,4.923414,3785,1890
2026-03-23 07:27:46,plant,300,30,gini,0.8367221195317314,0.8279849177832117,4.988879,3785,1890
2026-03-23 07:27:52,plant,300,40,gini,0.8367221195317314,0.8279849177832117,4.985759,3785,1890
